name,internal_code,price,subscription,price_per_month,description,quantity,currency,stripeProductId,stripePriceId,payment_method_types,taxCode
Test SMS Marketing Campaign,ta1,300,false,,"In a world where attention spans are short and competition is fierce, SMS marketing offers a direct and immediate channel to engage with your customers.",1,usd,prod_Q5ckPCobAvlxxR,price_1PFRV1LVWGloaQg4niYj538O,card,txcd_20060055
Test Social Media Campaign,ta2,300,false,,"Social Media Campaign",1,usd,prod_Q5cjY0BuO8Ales,price_1PFRUFLVWGloaQg4zaMIKmCz,card,txcd_20060055
Test Email Marketing Campaign,ta3,500,false,,"Our Email Marketing Campaign Service offers comprehensive solutions tailored to your brand's unique goals. From strategy development and audience segmentation, we handle every aspect of your email campaigns with precision and expertise.",1,usd,prod_Q5cj8ExQDdd0CR,price_1PFRTmLVWGloaQg4V7iD0810,card,txcd_20060055
Test 30 Second Video Creation,ta4,500,false,,"Whether it's promoting your brand, launching a new product, or sharing a message, our videos leave a lasting impact in just half a minute. We turn your vision into a captivating 30-second video that tells your story and captivates your audience.",1,usd,prod_Q5chYeozWj60SK,price_1PFRSDLVWGloaQg4BobSaEj8,card,txcd_20060055
Test 30 Second Video Script,ta5,200,false,,"From product launches to brand storytelling, we craft scripts that leave a lasting impression in just half a minute. We transform your message into a captivating 30-second video script that grabs attention and sparks curiosity.",1,usd,prod_Q5cg26Ds9LSx22,price_1PFRR2LVWGloaQg4C4nBexIq,card,txcd_20060055
Test Knowledge Base Service,ta6,500,false,,"Our service involves curating, organizing, and structuring valuable content to address common queries, troubleshoot issues, and empower both customers and employees.",1,usd,prod_Q5cfZeNpeAoEMe,price_1PFRQ0LVWGloaQg4C1moyWHx,card,txcd_20060055
Test Premium Content Creation,ta7,700,false,,"20 social media posts. Includes text + keywords+ 20 images or 30 second short video script",1,usd,prod_Q5ceM2sa1hqIT7,price_1PFRPFLVWGloaQg4Y7rc8EmK,card,txcd_20060055
Test Advanced Content Creation,ta8,500,false,,"15 social media posts. Includes text + keywords + images",1,usd,prod_Q5cewvctKHVFsE,price_1PFROxLVWGloaQg4Ov6SWJvn,card,txcd_20060055
Test Basic Content Creation,ta9,250,false,,"5 social media posts. Includes text + keywords + images",1,usd,prod_Q5cdRUDauqPG4U,price_1PFROXLVWGloaQg4f9ufXmop,card,txcd_20060055
Test Payment Gateway Integration,ta10,500,false,,"Our solutions are tailored to your specific business needs, providing a hassle-free checkout experience and boosting your online sales. Trusted payment gateways such as PayPal, Stripe, and more.",1,usd,prod_Q5cZWKIkymVEJS,price_1PFRJsLVWGloaQg4RXA841bz,card,txcd_20060055
Test Ignite Plan,tp1,299,true,299,"2,000 Contacts, 3 Automation Chat Flows, 2 Flow Enhancements, Facebook, Instagram, Whatsapp, Basic CRM: 5GB, Basic Support: 24h",1,usd,prod_Q5cUADFOSf0xO7,price_1PFRF8LVWGloaQg4qzUUJY7G,card,txcd_20060055
Test Ignite Plan Setup,tp1s,1000,false,,"Initial Setup Fee",1,usd,prod_Q5cThUiGHxOkPJ,price_1PFRElLVWGloaQg4G7TOmKdF,card,txcd_20060055
Test Accelerate Plan,tp2,499,true,499,"10,000 Contacts, 5 Automation Chat Flows, 2 Transaction Payment Flows, 5 Flow Enhancements, Facebook, Instagram, Whatsapp, Live Chat, AI Powered CRM: 10GB, Advance Support: 8h, AI Powered using your Custom GPT",1,usd,prod_Q5cT36u2UXGds6,price_1PFREOLVWGloaQg4dtkwAlq6,card,txcd_20060055
Test Accelerate Plan Setup,tp2s,1500,false,,"Initial Setup Fee",1,usd,prod_Q5cSe7dtZvXzRD,price_1PFRE2LVWGloaQg4TNWa2pVW,card,txcd_20060055
Test Dominate Plan,tp3,999,true,999,"20,000 Contacts, 10 Automation Chat Flows, 5 Transaction Payment Flows, 10 Flow Enhancements, Facebook, Instagram, Whatsapp, Live Chat, AI Powered+ CRM: 30GB, Priority Support: 2h, 2 Email Campaigns, Custom AI Agent Large Language Model",1,usd,prod_Q5cSYBJ9o27W0O,price_1PFRDbLVWGloaQg4JAqiY0aK,card,txcd_20060055
Test Dominate Plan Setup,tp3s,5000,false,,"Initial Setup Fee",1,usd,prod_Q5cR9K5akoPzkD,price_1PFRD4LVWGloaQg4VMcrNbp8,card,txcd_20060055
Test Basic Landing Page,ta11,350,false,,"1 Page + Dynamic Contact Form + SEO Optimization",1,usd,prod_Q5cRq0MLX3BDH6,price_1PFRCdLVWGloaQg4p1DQtINd,card,txcd_20060055
Test Advanced Landing Page,ta12,750,false,,"5 Pages + Dynamic Contact Form + SEO Optimization + Live Chat",1,usd,prod_Q5cQJMVlmxTlni,price_1PFRC7LVWGloaQg4hdSGA4e7,card,txcd_20060055
Test Premium Landing Page,ta13,1500,false,,"10 Pages + Dynamic Contact Form + SEO Optimization + Live Chat + Payment Gateway Integration",1,usd,prod_Q5cQZNlgC7Sivg,price_1PFRBGLVWGloaQg48bIyTlpf,card,txcd_20060055
Test No Subscription Plan Setup,none,0,false,,"Initial Setup Fee",1,usd,prod_Q8DscdhBfnPwvI,price_1PHxQXLVWGloaQg4GJuLZ5J6,card,txcd_20060055
Test No Subscription Plan,none,0,true,0,"No Subscription Plan",1,usd,prod_Q8DeZI06jKpKVj,price_1PHxDSLVWGloaQg4NH0MjQQv,card,txcd_20060055
